"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW8";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"BUZZER";;;
2;"SW7";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"RST_A5";;;
3;"R11,R14";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10R";;;
4;"C8,C13,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"100nF";;;
5;"R17,R16,R15";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"220R";;;
6;"R13,R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"1K";;;
7;"R12,R9,R7";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"1K2";;;
8;"R8";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100R";;;
9;"R6,R4,R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"3K3";;;
10;"R5,R3,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"1K8";;;
11;"C12,C6";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"47nF";;;
12;"C11,C5";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10uF";;;
13;"C9,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10nf";;;
14;"C7,C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100nf";;;
15;"U1";"Arduino_Mega2560Pro_Embed";1;"Arduino_Mega2560Pro_Embed";;;
16;"D4";"LED_D3.0mm";1;"AMPB";;;
17;"SW1";"SW_PUSH_6mm";1;"UP";;;
18;"SW9";"SW_CuK_JS202011AQN_DPDT_Angled";1;"AMP_ON_OFF";;;
19;"SW6";"SW_PUSH_6mm";1;"RST_A5";;;
20;"SW5";"SW_PUSH_6mm";1;"MENU";;;
21;"SW4";"SW_PUSH_6mm";1;"STOP";;;
22;"SW3";"SW_PUSH_6mm";1;"PLAY/PAUSE";;;
23;"SW2";"SW_PUSH_6mm";1;"DOWN";;;
24;"J2";"Jack_2.5mm_Mono_Horizontal_Mini";1;"Remote2";;;
25;"D5";"LED_D3.0mm";1;"BUZY";;;
26;"D3";"LED_D3.0mm";1;"AMPY";;;
27;"J4";"PinHeader_2x09_P2.54mm_Vertical";1;"GAIN_SEL";;;
28;"J8";"Audio Jack 3.5 PCB";1;"Remote";;;
29;"J5";"PinHeader_1x04_P2.54mm_Horizontal_2";1;"LED_OLED";;;
30;"J7";"Audio Jack 3.5 PCB";1;"Audio_OUT";;;
31;"SW11";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";1;"SEL_SCL_SDA";;;
32;"C10,C4";"CP_Elec_6.3x7.7";2;"220uF";;;
33;"U2";"SD_Kyocera_145638109511859+";1;"SD_Card";;;
34;"U4,U3";"DIP-8_W7.62mm_LongPads";2;"LM386";;;
35;"POT_BUZ1,POT_VOL1";"Potentiometer_Piher_PT-6-V_Vertical";2;"10K";;;
36;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
37;"HOLE2,HOLE1,HOLE3,HOLE4";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_3.2mm_M3_Pad_Via";;;
38;"SW10";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";1;"SEL_5V_GND";;;
39;"J1";"BarrelJack_Horizontal";1;"External Power";;;
40;"D1";"LED_D3.0mm";1;"EPWR";;;
41;"D2";"LED_D3.0mm";1;"5VG";;;
